Sun Jan  8 12:11:03 2023    profile_job

         97828 function calls (96635 primitive calls) in 55.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/ssl.py:4(<module>)
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/logging/__init__.py:17(<module>)
       62    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
      442    0.003    0.000    0.005    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:493(_wait_for_data)
       80    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       80    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      284    0.002    0.000    0.005    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:734(_call_soon)
       13    0.000    0.000    0.005    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:434(_convert_)
      314    0.004    0.000    0.004    0.000 {built-in method now}
       19    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:937(parse)
      199    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    82/81    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    75/19    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:435(_parse_sub)
    90/21    0.001    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:493(_parse)
      221    0.003    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1762(_add_callback)
        1    0.000    0.000    0.004    0.004 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/coroutines.py:1(<module>)
       89    0.000    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:278(__call__)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/socket.py:4(<module>)
       21    0.001    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:129(__new__)
      210    0.003    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/decoder.py:343(raw_decode)
       13    0.000    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:381(_create_)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/staggered.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:3(<module>)
6897/6698    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       17    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
        4    0.000    0.000    0.003    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:884(system)
        4    0.000    0.000    0.003    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:746(uname)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:603(_syscmd_uname)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/__init__.py:1(<module>)
       17    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:368(check_output)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:448(run)
      243    0.002    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:420(create_future)
       14    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:196(_accept_connection2)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/inspect.py:1(<module>)
     7151    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      210    0.002    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:364(drain)
