Sun Jan  8 12:27:56 2023    profile_job_2

         96311 function calls (95118 primitive calls) in 57.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      249    0.003    0.000    0.005    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:734(_call_soon)
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/uuid.py:1(<module>)
       62    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/ssl.py:4(<module>)
       80    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       80    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      207    0.004    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/decoder.py:343(raw_decode)
       19    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:937(parse)
    75/19    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:435(_parse_sub)
       13    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:434(_convert_)
    90/21    0.001    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:493(_parse)
      221    0.003    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1762(_add_callback)
    82/81    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      199    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/socket.py:4(<module>)
6759/6560    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      207    0.002    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:364(drain)
       73    0.000    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:278(__call__)
       21    0.001    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:129(__new__)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/coroutines.py:1(<module>)
     7224    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       13    0.000    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:381(_create_)
      228    0.002    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:420(create_future)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/staggered.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:3(<module>)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/__init__.py:1(<module>)
       17    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
       19    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:598(_code)
      416    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     5052    0.002    0.000    0.002    0.000 job_center.py:92(<lambda>)
      254    0.002    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:32(__init__)
      460    0.001    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:658(time)
   183/19    0.001    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:71(_compile)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/inspect.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/decoder.py:1(<module>)
        4    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:884(system)
        4    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:746(uname)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:603(_syscmd_uname)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:368(check_output)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:448(run)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:1(<module>)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        6    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:196(_accept_connection2)
       15    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/collections/__init__.py:313(namedtuple)
       92    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:10(<module>)
      221    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/typing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/linecache.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:732(__init__)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/scanner.py:1(<module>)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      995    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       13    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:451(<listcomp>)
      221    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:233(_stream_reader)
      370    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/logging/__init__.py:441(StrFormatStyle)
      545    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:64(_make_socket_transport)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:161(print_exc)
      371    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:87(print_exception)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/runners.py:53(_cancel_all_tasks)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/tokenize.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:752(__init__)
      798    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:254(get)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:1550(_execute_child)
