Sun Jan  8 12:48:17 2023    profile_job_4

         143519 function calls (142333 primitive calls) in 95.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     76/1    0.001    0.000   95.002   95.002 {built-in method builtins.exec}
        1    0.000    0.000   95.002   95.002 job_center.py:1(<module>)
        1    0.000    0.000   94.963   94.963 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/runners.py:8(run)
        3    0.000    0.000   94.962   31.654 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:577(run_until_complete)
        3    0.004    0.001   94.962   31.654 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:550(run_forever)
      931    0.031    0.000   94.958    0.102 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1780(_run_once)
      931    0.023    0.000   94.521    0.102 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:451(select)
      931   94.490    0.101   94.490    0.101 {method 'poll' of 'select.epoll' objects}
     1134    0.008    0.000    0.386    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:79(_run)
     1134    0.009    0.000    0.378    0.000 {method 'run' of 'Context' objects}
      500    0.072    0.000    0.286    0.001 job_center.py:46(_echo)
      540    0.009    0.000    0.087    0.000 job_center.py:33(send_response)
      478    0.002    0.000    0.060    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:802(_read_ready)
      478    0.006    0.000    0.057    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:842(_read_ready__data_received)
     1146    0.004    0.000    0.046    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/heapq.py:521(nlargest)
     2104    0.030    0.000    0.046    0.000 {built-in method builtins.max}
      545    0.002    0.000    0.045    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:340(write)
      545    0.006    0.000    0.043    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:888(write)
     81/7    0.000    0.000    0.038    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
     81/7    0.000    0.000    0.038    0.005 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     80/7    0.000    0.000    0.038    0.005 <frozen importlib._bootstrap>:650(_load_unlocked)
     60/7    0.000    0.000    0.038    0.005 <frozen importlib._bootstrap_external>:777(exec_module)
      545    0.037    0.000    0.037    0.000 {method 'send' of '_socket.socket' objects}
    119/7    0.000    0.000    0.037    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1038    0.004    0.000    0.035    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:521(readline)
      456    0.003    0.000    0.032    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:283(data_received)
     1038    0.015    0.000    0.031    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:552(readuntil)
        1    0.000    0.000    0.028    0.028 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/__init__.py:1(<module>)
      537    0.004    0.000    0.028    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/__init__.py:299(loads)
      456    0.005    0.000    0.027    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:471(feed_data)
